LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0,1,402153,11311080,1,402161,11314688,450,402191,1605376,1,254794,2547934,1,1131469,11314688,33282,403719,802560,41926549
1,1,1319298,41653920,1,1319327,41868288,7391,1319357,361568,1,4164386,41643852,1,4186829,41868288,484447,1320896,180320,181698172
2,1,55031,1720320,1,55003,215040,2559,55033,24192,1,172032,1720320,1,21504,215040,55061,55144,2688,4368973
3,1,209729,6553600,1,209701,819200,2559,209731,92160,1,655360,6553600,1,81920,819200,209759,210078,10240,16636844
4,1,209729,6553600,1,209701,819200,2559,209731,92160,1,655360,6553600,1,81920,819200,209759,210078,10240,16636845
5,1,2560,2560,1,2588,74240,2590,2618,1053,1,256,2560,1,7424,74240,2621,2621,0,177940
,,,,,,,,,,,,,,,,,,,261445323
