LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1, 138000, 138000, 1, 138007, 1104000, 138030, 138037, 1032, 1, 13800, 138000, 1, 110400, 1104000, 138061, 138061, 0,
1, 1, 138000, 138000, 1, 138007, 1104000, 138030, 138037, 1032, 1, 13800, 138000, 1, 110400, 1104000, 138061, 138061, 0,
2, 1, 138000, 138000, 1, 138031, 4416000, 138030, 138061, 1056, 1, 13800, 138000, 1, 441600, 4416000, 138061, 138061, 32,
3, 1, 138000, 138000, 1, 138031, 4416000, 138030, 138061, 1056, 1, 13800, 138000, 1, 441600, 4416000, 138061, 138061, 32,
4, 1, 64, 64, 1, 95, 2048, 94, 125, 1056, 1, 7, 64, 1, 205, 2048, 125, 125, 32,
5, 1, 32, 32, 1, 47, 512, 62, 77, 1040, 1, 4, 32, 1, 52, 512, 93, 93, 0,
6, 1, 16, 16, 1, 23, 128, 46, 53, 1032, 1, 2, 16, 1, 13, 128, 77, 77, 0,
7, 1, 16, 16, 1, 16, 16, 46, 46, 1025, 1, 2, 16, 1, 2, 16, 77, 77, 0,
