"filename", "language", "Python", "CSV", "Properties", "comment", "blank", "total"
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\UNet_2d.csv", "CSV", 0, 20, 0, 0, 0, 20
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\UNet_maestro.csv", "CSV", 0, 24, 0, 0, 0, 24
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\alexnet.csv", "CSV", 0, 6, 0, 0, 1, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\alexnet_full.csv", "CSV", 0, 6, 0, 0, 1, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\alexnet_part.csv", "CSV", 0, 2, 0, 0, 0, 2
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\mobilenet.csv", "CSV", 0, 28, 0, 0, 1, 29
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\mobilnet_4k.csv", "CSV", 0, 29, 0, 0, 2, 31
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\mobilnet_paper.csv", "CSV", 0, 29, 0, 0, 2, 31
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\mobilnet_reduce_run.csv", "CSV", 0, 12, 0, 0, 0, 12
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\test.csv", "CSV", 0, 2, 0, 0, 1, 3
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\yolo.csv", "CSV", 0, 23, 0, 0, 1, 24
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\yolo_tiny.csv", "CSV", 0, 10, 0, 0, 2, 12
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\conv_nets\yolo_tiny_layer1.csv", "CSV", 0, 2, 0, 0, 1, 3
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\DeepBench.csv", "CSV", 0, 108, 0, 0, 0, 108
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\DeepSpeech.csv", "CSV", 0, 7, 0, 0, 1, 8
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\FaceRecognition.csv", "CSV", 0, 6, 0, 0, 1, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\FaceRecognitionID.csv", "CSV", 0, 19, 0, 0, 1, 20
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\OCR.csv", "CSV", 0, 5, 0, 0, 1, 6
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\Resnet.csv", "CSV", 0, 33, 0, 0, 1, 34
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\SpeakerID.csv", "CSV", 0, 17, 0, 0, 1, 18
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBenchConv\Vision.csv", "CSV", 0, 27, 0, 0, 1, 28
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_Dense\DeepBench_DenseMatrixMultiplication.csv", "CSV", 0, 85, 0, 0, 1, 86
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_Dense\DeepBench_GEMM_github.csv", "CSV", 0, 6, 0, 0, 1, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_Dense\DeepBench_GEMM_github_forintel.csv", "CSV", 0, 5, 0, 0, 1, 6
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_LSTM\CharacterLanguageModelling.csv", "CSV", 0, 6, 0, 0, 4, 10
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_LSTM\DeepBenchLSTM.csv", "CSV", 0, 26, 0, 0, 4, 30
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_LSTM\LanguageModelling.csv", "CSV", 0, 6, 0, 0, 1, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\DeepBench_LSTM\MachineTranslation.csv", "CSV", 0, 16, 0, 0, 1, 17
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\deepbench\deepbench_output.csv", "CSV", 0, 85, 0, 0, 1, 86
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\dlrm\DLRM.csv", "CSV", 0, 11, 0, 0, 0, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\dlrm\dlrm_fwd.csv", "CSV", 0, 9, 0, 0, 1, 10
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\dlrm\dlrm_inp_grad.csv", "CSV", 0, 9, 0, 0, 1, 10
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\dlrm\dlrm_weight_grad.csv", "CSV", 0, 9, 0, 0, 1, 10
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\AlphaGoZero.csv", "CSV", 0, 9, 0, 0, 2, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\DeepSpeech2.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\FasterRCNN.csv", "CSV", 0, 47, 0, 0, 1, 48
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\MLPERF.csv", "CSV", 0, 1104, 0, 0, 15, 1119
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\NCF_recommendation.csv", "CSV", 0, 10, 0, 0, 2, 12
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\NCF_recommendation_short.csv", "CSV", 0, 8, 0, 0, 0, 8
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Resnet50.csv", "CSV", 0, 55, 0, 0, 2, 57
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Sentimental_seqCNN.csv", "CSV", 0, 6, 0, 0, 0, 6
