LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1, 961953, 30720000, 1, 961926, 4800000, 29999, 961956, 37888, 1, 3072000, 30720000, 1, 480000, 4800000, 961983, 962142, 5120,
1, 1, 218075, 883008, 1, 218081, 884736, 8, 218111, 6285312, 1, 29552, 295515, 1, 1041, 10401, 4552, 219967, 3139584,
2, 1, 218075, 883008, 1, 218081, 884736, 8, 218111, 6285312, 1, 29552, 295515, 1, 1041, 10401, 4552, 219967, 3139584,
3, 1, 2048, 2048, 1, 2049, 4096, 2078, 2079, 1026, 1, 205, 2048, 1, 410, 4096, 2109, 2109, 0,
