LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 31.93400306034196, 4.989687978178432, 0.005322333843390327, 10.0, 10.0, 32.0,
1, 4.034413279176128, 4.042308412794868, 14.344580548181789, 9.99983080671359, 9.99135446685879, 13.427460409896117,
2, 4.034413279176128, 4.042308412794868, 14.344580548181789, 9.99983080671359, 9.99135446685879, 13.427460409896117,
3, 0.9706161137440759, 1.9412322274881517, 0.0009478672985781991, 9.990243902439024, 9.990243902439024, 0.0,
