LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,,
0,1,155442,3493014,1,155465,3499776,146,155495,1522240,1,129619,1296188,1,349978,3499776,13522,156729,760384,,15160434
1,1,24665,401408,1,24665,401408,63,24695,401408,1,40141,401408,1,40141,401408,8127,25847,200704,,2379704
2,1,117333,3359232,1,117361,3391488,575,117391,375040,1,335753,3357522,1,339149,3391488,41407,119127,186624,,15165522
3,1,98753,1605632,1,98753,1605632,63,98783,1605632,1,160564,1605632,1,160564,1605632,8127,100319,802816,,9540518
4,1,98753,1605632,1,98753,1605632,63,98783,1605632,1,160564,1605632,1,160564,1605632,8127,100319,802816,,9540518
5,1,62297,1605632,1,62297,1605632,255,62327,401408,1,160564,1605632,1,160564,1605632,20607,63479,200704,,7575302
6,1,117333,3359232,1,117361,3391488,575,117391,375040,1,335753,3357522,1,339149,3391488,41407,119127,186624,,15165522
7,1,98753,1605632,1,98753,1605632,63,98783,1605632,1,160564,1605632,1,160564,1605632,8127,100319,802816,,9540518
8,1,62297,1605632,1,62297,1605632,255,62327,401408,1,160564,1605632,1,160564,1605632,20607,63479,200704,,7575302
9,1,117333,3359232,1,117361,3391488,575,117391,375040,1,335753,3357522,1,339149,3391488,41407,119127,186624,,15165522
10,1,98753,1605632,1,98753,1605632,63,98783,1605632,1,160564,1605632,1,160564,1605632,8127,100319,802816,,9540518
11,1,31753,802816,1,31769,819200,255,31799,202752,1,80282,802816,1,81920,819200,20925,32887,100352,,3816362
