LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 22.463690384318568, 22.507177033492823, 9.789576580748058, 9.999984570163324, 9.999988570710158, 5.309647505725937,
1, 15.878481012658227, 15.878481012658227, 15.878481012658227, 9.999950175630902, 9.999950175630902, 11.325771683313583,
2, 28.615510426604878, 28.890282131661444, 3.194766253237018, 9.99997617296048, 9.999994102886932, 2.4012043077160614,
3, 16.253968253968253, 16.253968253968253, 16.253968253968253, 9.999950175630902, 9.999950175630902, 8.707993014654042,
4, 16.253968253968253, 16.253968253968253, 16.253968253968253, 9.999950175630902, 9.999950175630902, 8.707993014654042,
5, 25.75770020533881, 25.75770020533881, 6.439425051334703, 9.999950175630902, 9.999950175630902, 4.681361229678353,
6, 28.615510426604878, 28.890282131661444, 3.194766253237018, 9.99997617296048, 9.999994102886932, 2.4012043077160614,
7, 16.253968253968253, 16.253968253968253, 16.253968253968253, 9.999950175630902, 9.999950175630902, 8.707993014654042,
8, 25.75770020533881, 25.75770020533881, 6.439425051334703, 9.999950175630902, 9.999950175630902, 4.681361229678353,
9, 28.615510426604878, 28.890282131661444, 3.194766253237018, 9.99997617296048, 9.999994102886932, 2.4012043077160614,
10, 16.253968253968253, 16.253968253968253, 16.253968253968253, 9.999950175630902, 9.999950175630902, 8.707993014654042,
11, 24.965512952078864, 25.475013216407003, 6.305065771060733, 9.999950175630902, 10.0, 8.388531304856642,
12, 29.158005092107235, 30.365733113673805, 1.6534371723828067, 9.999977491382415, 9.999975339391623, 3.180942577751636,
13, 21.126736842105263, 21.557894736842105, 10.671157894736842, 9.999950175630902, 10.0, 6.194281128960079,
14, 25.245786163522013, 25.761006289308177, 6.375849056603774, 9.999981315803405, 10.0, 3.732118451025057,
15, 27.97268292682927, 28.54355400696864, 3.5322648083623696, 9.999950175630902, 10.0, 4.8556636183287365,
16, 29.158005092107235, 30.365733113673805, 1.6534371723828067, 9.999977491382415, 9.999975339391623, 3.180942577751636,
17, 21.126736842105263, 21.557894736842105, 10.671157894736842, 9.999950175630902, 10.0, 6.194281128960079,
18, 27.97268292682927, 28.54355400696864, 3.5322648083623696, 9.999950175630902, 10.0, 4.8556636183287365,
19, 29.158005092107235, 30.365733113673805, 1.6534371723828067, 9.999977491382415, 9.999975339391623, 3.180942577751636,
20, 21.126736842105263, 21.557894736842105, 10.671157894736842, 9.999950175630902, 10.0, 6.194281128960079,
21, 27.97268292682927, 28.54355400696864, 3.5322648083623696, 9.999950175630902, 10.0, 4.8556636183287365,
22, 29.158005092107235, 30.365733113673805, 1.6534371723828067, 9.999977491382415, 9.999975339391623, 3.180942577751636,
23, 21.126736842105263, 21.557894736842105, 10.671157894736842, 9.999950175630902, 10.0, 6.194281128960079,
24, 24.975609756097562, 28.54355400696864, 3.3449477351916377, 9.999950175630902, 9.999934605617378, 31.979604843849586,
25, 28.04530853761623, 31.1614539306847, 0.8223161453930685, 9.999992464801203, 10.0, 31.972246313963574,
26, 22.540880503144653, 25.761006289308177, 6.037735849056604, 9.999950175630902, 9.999989100876835, 4.079930071351615,
27, 24.975609756097562, 28.54355400696864, 3.3449477351916377, 9.999981315803405, 9.999989100876835, 2.2846475201766667,
28, 26.40147329650092, 30.173112338858196, 1.7679558011049723, 9.999950175630902, 9.999989100876835, 31.979604843849586,
29, 28.04530853761623, 31.1614539306847, 0.8223161453930685, 9.999992464801203, 10.0, 31.972246313963574,
30, 22.540880503144653, 25.761006289308177, 6.037735849056604, 9.999950175630902, 9.999989100876835, 4.079930071351615,
31, 26.40147329650092, 30.173112338858196, 1.7679558011049723, 9.999950175630902, 9.999989100876835, 31.979604843849586,
32, 28.04530853761623, 31.1614539306847, 0.8223161453930685, 9.999992464801203, 10.0, 31.972246313963574,
33, 22.540880503144653, 25.761006289308177, 6.037735849056604, 9.999950175630902, 9.999989100876835, 4.079930071351615,
34, 26.40147329650092, 30.173112338858196, 1.7679558011049723, 9.999950175630902, 9.999989100876835, 31.979604843849586,
35, 28.04530853761623, 31.1614539306847, 0.8223161453930685, 9.999992464801203, 10.0, 31.972246313963574,
36, 22.540880503144653, 25.761006289308177, 6.037735849056604, 9.999950175630902, 9.999989100876835, 4.079930071351615,
37, 26.40147329650092, 30.173112338858196, 1.7679558011049723, 9.999950175630902, 9.999989100876835, 31.979604843849586,
38, 28.04530853761623, 31.1614539306847, 0.8223161453930685, 9.999992464801203, 10.0, 31.972246313963574,
39, 22.540880503144653, 25.761006289308177, 6.037735849056604, 9.999950175630902, 9.999989100876835, 4.079930071351615,
40, 26.40147329650092, 30.173112338858196, 1.7679558011049723, 9.999950175630902, 9.999989100876835, 31.979604843849586,
41, 28.04530853761623, 31.1614539306847, 0.8223161453930685, 9.999992464801203, 10.0, 31.972246313963574,
42, 22.540880503144653, 25.761006289308177, 6.037735849056604, 9.999950175630902, 9.999989100876835, 4.079930071351615,
43, 28.60754472946756, 31.786160810519508, 0.20970036645828843, 9.99999717429912, 10.0, 0.975663980308865,
44, 24.975609756097562, 16.05574912891986, 2.662020905923345, 9.999701061232624, 9.999534991862358, 31.92760180995475,
45, 24.975609756097562, 16.05574912891986, 2.662020905923345, 9.99920286966919, 9.998760074395536, 31.783783783783782,
