LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 155496, 22528, 70.19903245099552, 17.942793282590312, 9.857460507102084,
1, 25280, 5120, 49.620253164556964, 33.68421052631578, 20.253164556962027,
2, 117392, 4096, 89.42347008314024, 5.221688990759975, 2.6815272566762305,
3, 98784, 23552, 50.79365079365079, 33.68421052631578, 20.253164556962027,
4, 98784, 23552, 50.79365079365079, 33.68421052631578, 20.253164556962027,
5, 62336, 5120, 80.49281314168378, 11.149825783972126, 5.904059040590406,
6, 117392, 4096, 89.42347008314024, 5.221688990759975, 2.6815272566762305,
7, 98784, 23552, 50.79365079365079, 33.68421052631578, 20.253164556962027,
8, 62336, 5120, 80.49281314168378, 11.149825783972126, 5.904059040590406,
9, 117392, 4096, 89.42347008314024, 5.221688990759975, 2.6815272566762305,
10, 98784, 23552, 50.79365079365079, 33.68421052631578, 20.253164556962027,
11, 32157, 2048, 78.01722797524644, 10.926829268292684, 5.785977859778598,
12, 106832, 1024, 91.1187659128351, 2.5974025974025974, 1.3165069720339644,
13, 76000, 11264, 66.02105263157895, 19.723270440251575, 10.965034965034965,
14, 127200, 11264, 78.89308176100629, 10.926829268292684, 5.785977859778598,
15, 57400, 2048, 87.41463414634147, 5.775322283609577, 2.9753320683111957,
16, 106832, 1024, 91.1187659128351, 2.5974025974025974, 1.3165069720339644,
17, 76000, 11264, 66.02105263157895, 19.723270440251575, 10.965034965034965,
18, 57400, 2048, 87.41463414634147, 5.775322283609577, 2.9753320683111957,
19, 106832, 1024, 91.1187659128351, 2.5974025974025974, 1.3165069720339644,
20, 76000, 11264, 66.02105263157895, 19.723270440251575, 10.965034965034965,
21, 57400, 2048, 87.41463414634147, 5.775322283609577, 2.9753320683111957,
22, 106832, 1024, 91.1187659128351, 2.5974025974025974, 1.3165069720339644,
23, 76000, 11264, 66.02105263157895, 19.723270440251575, 10.965034965034965,
24, 32144, 0, 78.04878048780488, 5.156537753222836, 2.6565464895635675,
25, 94640, 0, 87.64158918005072, 1.2334047109207709, 0.6209573091849935,
26, 71232, 5120, 70.44025157232704, 9.75609756097561, 5.166051660516605,
27, 128576, 5120, 78.04878048780488, 5.156537753222836, 2.6565464895635675,
28, 60816, 0, 82.50460405156538, 2.654028436018957, 1.347449470644851,
29, 94640, 0, 87.64158918005072, 1.2334047109207709, 0.6209573091849935,
30, 71232, 5120, 70.44025157232704, 9.75609756097561, 5.166051660516605,
31, 60816, 0, 82.50460405156538, 2.654028436018957, 1.347449470644851,
32, 94640, 0, 87.64158918005072, 1.2334047109207709, 0.6209573091849935,
33, 71232, 5120, 70.44025157232704, 9.75609756097561, 5.166051660516605,
34, 60816, 0, 82.50460405156538, 2.654028436018957, 1.347449470644851,
35, 94640, 0, 87.64158918005072, 1.2334047109207709, 0.6209573091849935,
36, 71232, 5120, 70.44025157232704, 9.75609756097561, 5.166051660516605,
37, 60816, 0, 82.50460405156538, 2.654028436018957, 1.347449470644851,
38, 94640, 0, 87.64158918005072, 1.2334047109207709, 0.6209573091849935,
39, 71232, 5120, 70.44025157232704, 9.75609756097561, 5.166051660516605,
40, 60816, 0, 82.50460405156538, 2.654028436018957, 1.347449470644851,
41, 94640, 0, 87.64158918005072, 1.2334047109207709, 0.6209573091849935,
42, 71232, 5120, 70.44025157232704, 9.75609756097561, 5.166051660516605,
43, 34752, 0, 72.19152854511971, 2.322274881516588, 1.1790182868142445,
44, 74720, 0, 77.08779443254818, 0.5389092476826902, 0.2703871944624703,
45, 73472, 2048, 68.29268292682927, 4.511970534069982, 2.3244781783681217,
46, 139008, 2048, 72.19152854511971, 2.322274881516588, 1.1790182868142445,
47, 67520, 0, 74.31279620853081, 1.1784511784511784, 0.5937954435288415,
48, 74720, 0, 77.08779443254818, 0.5389092476826902, 0.2703871944624703,
49, 73472, 2048, 68.29268292682927, 4.511970534069982, 2.3244781783681217,
50, 67520, 0, 74.31279620853081, 1.1784511784511784, 0.5937954435288415,
51, 74720, 0, 77.08779443254818, 0.5389092476826902, 0.2703871944624703,
52, 73472, 2048, 68.29268292682927, 4.511970534069982, 2.3244781783681217,
53, 67520, 0, 2.962085308056872, 0.04697270322270323, 0.023668504604944258,
